"date","value","country","unit","indicator"
2023-07-03,NA,"Belgium","ratio","SARS/PMMV 14d"
2023-07-05,NA,"Belgium","ratio","SARS/PMMV 14d"
2023-07-10,NA,"Belgium","ratio","SARS/PMMV 14d"
2023-07-12,NA,"Belgium","ratio","SARS/PMMV 14d"
2023-07-17,NA,"Belgium","ratio","SARS/PMMV 14d"
2023-07-19,NA,"Belgium","ratio","SARS/PMMV 14d"
2023-07-24,NA,"Belgium","ratio","SARS/PMMV 14d"
2023-07-26,NA,"Belgium","ratio","SARS/PMMV 14d"
2023-07-31,NA,"Belgium","ratio","SARS/PMMV 14d"
2023-08-02,NA,"Belgium","ratio","SARS/PMMV 14d"
2023-08-07,NA,"Belgium","ratio","SARS/PMMV 14d"
2023-08-09,NA,"Belgium","ratio","SARS/PMMV 14d"
2023-08-16,NA,"Belgium","ratio","SARS/PMMV 14d"
2023-08-21,0.000286932328622885,"Belgium","ratio","SARS/PMMV 14d"
2023-08-23,0.000311249986798997,"Belgium","ratio","SARS/PMMV 14d"
2023-08-28,0.000348019168447504,"Belgium","ratio","SARS/PMMV 14d"
2023-08-30,0.000364164210888832,"Belgium","ratio","SARS/PMMV 14d"
2023-09-04,0.000403740187541405,"Belgium","ratio","SARS/PMMV 14d"
2023-09-06,0.000455567640960763,"Belgium","ratio","SARS/PMMV 14d"
2023-09-11,0.00045980287563858,"Belgium","ratio","SARS/PMMV 14d"
2023-09-13,0.00046820279063243,"Belgium","ratio","SARS/PMMV 14d"
2023-09-18,0.00048779368079393,"Belgium","ratio","SARS/PMMV 14d"
2023-09-20,0.000501832235528918,"Belgium","ratio","SARS/PMMV 14d"
2023-09-25,0.000516896318668574,"Belgium","ratio","SARS/PMMV 14d"
2023-09-27,0.000510656999021647,"Belgium","ratio","SARS/PMMV 14d"
2023-10-02,0.000510621183948756,"Belgium","ratio","SARS/PMMV 14d"
2023-10-04,0.000523611039337524,"Belgium","ratio","SARS/PMMV 14d"
2023-10-09,0.000538027795736263,"Belgium","ratio","SARS/PMMV 14d"
2023-10-11,0.000552700815570284,"Belgium","ratio","SARS/PMMV 14d"
2023-10-16,0.000550949059408939,"Belgium","ratio","SARS/PMMV 14d"
2023-10-18,0.000540581856912176,"Belgium","ratio","SARS/PMMV 14d"
2023-10-23,0.000539952926193343,"Belgium","ratio","SARS/PMMV 14d"
2023-10-25,0.000529943652057235,"Belgium","ratio","SARS/PMMV 14d"
2023-10-30,0.000534164234843423,"Belgium","ratio","SARS/PMMV 14d"
2023-11-06,0.00053927217478876,"Belgium","ratio","SARS/PMMV 14d"
2023-11-08,0.000561760096384805,"Belgium","ratio","SARS/PMMV 14d"
2023-11-15,0.000587373677554478,"Belgium","ratio","SARS/PMMV 14d"
2023-11-20,0.000565200809176677,"Belgium","ratio","SARS/PMMV 14d"
2023-11-22,0.00061261789424587,"Belgium","ratio","SARS/PMMV 14d"
2023-11-27,0.000632907070638828,"Belgium","ratio","SARS/PMMV 14d"
2023-11-29,0.000703743847925953,"Belgium","ratio","SARS/PMMV 14d"
2023-12-04,0.000844348856056904,"Belgium","ratio","SARS/PMMV 14d"
2023-12-06,0.000980396608840532,"Belgium","ratio","SARS/PMMV 14d"
2023-12-11,0.00107331705554417,"Belgium","ratio","SARS/PMMV 14d"
2023-12-13,0.00125878273046677,"Belgium","ratio","SARS/PMMV 14d"
2023-12-18,0.00133871994696235,"Belgium","ratio","SARS/PMMV 14d"
2023-12-20,0.00140760624729033,"Belgium","ratio","SARS/PMMV 14d"
2023-12-27,0.00139273401033525,"Belgium","ratio","SARS/PMMV 14d"
2024-01-01,0.00159184220491818,"Belgium","ratio","SARS/PMMV 14d"
2024-01-03,0.00143342744312721,"Belgium","ratio","SARS/PMMV 14d"
2024-01-08,0.00140832035489782,"Belgium","ratio","SARS/PMMV 14d"
2024-01-15,0.00138367779480176,"Belgium","ratio","SARS/PMMV 14d"
2024-01-22,0.00136534162290281,"Belgium","ratio","SARS/PMMV 14d"
2024-01-29,0.00134253676414963,"Belgium","ratio","SARS/PMMV 14d"
2024-02-05,0.00131022807527363,"Belgium","ratio","SARS/PMMV 14d"
2024-02-12,0.00131705827469582,"Belgium","ratio","SARS/PMMV 14d"
2024-02-19,0.00129592055410928,"Belgium","ratio","SARS/PMMV 14d"
2024-02-26,0.00126178506401788,"Belgium","ratio","SARS/PMMV 14d"
2024-03-04,0.00123878853689412,"Belgium","ratio","SARS/PMMV 14d"
2024-03-11,0.0012003131497586,"Belgium","ratio","SARS/PMMV 14d"
2024-03-18,0.000854989761935474,"Belgium","ratio","SARS/PMMV 14d"
2024-03-25,0.000754866077896183,"Belgium","ratio","SARS/PMMV 14d"
2024-04-01,0.000654486666703818,"Belgium","ratio","SARS/PMMV 14d"
2024-04-08,0.000630913325612015,"Belgium","ratio","SARS/PMMV 14d"
2024-04-15,0.000586485170903045,"Belgium","ratio","SARS/PMMV 14d"
2024-04-22,0.000520692436258579,"Belgium","ratio","SARS/PMMV 14d"
2024-04-29,0.000483589441021683,"Belgium","ratio","SARS/PMMV 14d"
2024-05-06,0.000421146098700165,"Belgium","ratio","SARS/PMMV 14d"
2024-05-13,0.00045234841280153,"Belgium","ratio","SARS/PMMV 14d"
2024-05-20,0.000421921225149539,"Belgium","ratio","SARS/PMMV 14d"
2024-05-27,0.000419674510083591,"Belgium","ratio","SARS/PMMV 14d"
2024-06-03,0.000457830773324305,"Belgium","ratio","SARS/PMMV 14d"
2024-06-04,0.000267055657648799,"Belgium","ratio","SARS/PMMV 14d"
2024-06-10,0.000497742822880431,"Belgium","ratio","SARS/PMMV 14d"
2024-06-17,0.000518810424064187,"Belgium","ratio","SARS/PMMV 14d"
2024-06-24,0.000631709758459342,"Belgium","ratio","SARS/PMMV 14d"
2024-07-01,0.000665985396942745,"Belgium","ratio","SARS/PMMV 14d"
2024-07-08,0.000670023704295239,"Belgium","ratio","SARS/PMMV 14d"
