"siteName";"date";"labName";"flowRate";"popServ";"PMMV";"measure";"value";"value_load";"value_pmmv";"value_avg14d_past";"value_load_avg14d_past";"value_pmmv_avg14d_past"
"Aalst";2023-07-03;"Sciensano Foodborne Pathogens";615.63;98357;152002.03;"SARS";NA;NA;NA;NA;NA;NA
"Aalst";2023-07-04;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aalst";2023-07-05;"Sciensano Foodborne Pathogens";1680.79;98357;96005.36;"SARS";NA;NA;NA;NA;NA;NA
"Aalst";2023-07-06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aalst";2023-07-07;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aalst";2023-07-08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aalst";2023-07-09;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aalst";2023-07-10;"Sciensano Foodborne Pathogens";520.17;98357;164169.61;"SARS";9.84;124895378264.892;5.99380116697603e-05;NA;NA;NA
"Aalst";2023-07-11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aalst";2023-07-12;"Sciensano Foodborne Pathogens";1154.54;98357;232555.18;"SARS";23.59;664573305814.533;0.00010143829090369;NA;NA;NA
"Aalst";2023-07-13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aalst";2023-07-14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aalst";2023-07-15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aalst";2023-07-16;NA;NA;NA;NA;NA;NA;NA;NA;20.1032653061224;511414595643.152;0.000104814012550885
"Aalst";2023-07-17;"Sciensano Foodborne Pathogens";562.75;98357;10066.74;"SARS";NA;NA;NA;20.3027232142857;514147304422.374;0.000109759576743815
"Aalst";2023-07-18;NA;NA;NA;NA;NA;NA;NA;NA;20.4158333333333;513355032585.378;0.000114560354120329
"Aalst";2023-07-19;"Sciensano Foodborne Pathogens";747.17;98357;62150.47;"SARS";NA;NA;NA;20.4685;510095274317.029;0.000119259780725354
"Aalst";2023-07-20;NA;NA;NA;NA;NA;NA;NA;NA;20.4772077922078;505040980462.241;0.000123885497678385
"Aalst";2023-07-21;NA;NA;NA;NA;NA;NA;NA;NA;20.4529464285714;498640784917.625;0.000128455932392422
"Aalst";2023-07-22;NA;NA;NA;NA;NA;NA;NA;NA;20.4033241758242;491205280380.833;0.000132983842307232
"Aalst";2023-07-23;NA;NA;NA;NA;NA;NA;NA;NA;20.3337755102041;482956318778.759;0.000137478339879792
"Aalst";2023-07-24;"Sciensano Foodborne Pathogens";5637.63;98357;2552;"SARS";NA;NA;NA;20.9917346938776;498996678185.859;0.000147803828714895
"Aalst";2023-07-25;NA;NA;NA;NA;NA;NA;NA;NA;21.1316071428571;493887153895.648;0.00015726059665151
"Aalst";2023-07-26;"Sciensano Foodborne Pathogens";665.17;98357;82532.24;"SARS";18.295;296941593989.243;0.000221670949437456;20.7533928571429;467627745908.128;0.000165848643689636
"Aalst";2023-07-27;NA;NA;NA;NA;NA;NA;NA;NA;20.5642857142857;454498041914.367;0.000170142667208699
"Aalst";2023-07-28;NA;NA;NA;NA;NA;NA;NA;NA;20.3751785714286;441368337920.607;0.000174436690727762
"Aalst";2023-07-29;NA;NA;NA;NA;NA;NA;NA;NA;20.1860714285714;428238633926.847;0.000178730714246825
"Aalst";2023-07-30;NA;NA;NA;NA;NA;NA;NA;NA;19.9969642857143;415108929933.086;0.000183024737765889
"Aalst";2023-07-31;"Sciensano Foodborne Pathogens";3699.21;98357;22951.9;"SARS";NA;NA;NA;19.8078571428571;401979225939.326;0.000187318761284952
"Aalst";2023-08-01;NA;NA;NA;NA;NA;NA;NA;NA;19.61875;388849521945.566;0.000191612784804015
"Aalst";2023-08-02;"Sciensano Foodborne Pathogens";3416.13;98357;61795.97;"SARS";NA;NA;NA;19.4296428571429;375719817951.805;0.000195906808323078
"Aalst";2023-08-03;NA;NA;NA;NA;NA;NA;NA;NA;19.2405357142857;362590113958.045;0.000200200831842141
"Aalst";2023-08-04;NA;NA;NA;NA;NA;NA;NA;NA;19.0514285714286;349460409964.285;0.000204494855361204
"Aalst";2023-08-05;NA;NA;NA;NA;NA;NA;NA;NA;18.8623214285714;336330705970.524;0.000208788878880267
