"date";"siteName";"labName";"flowRate";"popServ";"PMMV";"measure";"value";"value_load";"value_pmmv"
2023-07-03;"Aalst";"Sciensano Foodborne Pathogens";615.63;98357;152002.03;"SARS";NA;NA;NA
2023-07-03;"Aartselaar";"University of Antwerpen Laboratory for Microbiology, Parasitology and Hygiene (LMPH)";560.54;64815;42571.85;"SARS";8.27;171651591761.166;0.000194259821924582
2023-07-03;"Antwerpen-Noord";"University of Antwerpen Laboratory for Microbiology, Parasitology and Hygiene (LMPH)";578.33;73974;16548.3;"SARS";NA;NA;NA
2023-07-03;"Antwerpen-Zuid";"University of Antwerpen Laboratory for Microbiology, Parasitology and Hygiene (LMPH)";1577.46;178677;40070.7;"SARS";NA;NA;NA
2023-07-03;"Beersel";"Sciensano Foodborne Pathogens";713.46;66698;117354.43;"SARS";8.65;222067072475.936;7.37083380661471e-05
2023-07-03;"Brugge";"Sciensano Foodborne Pathogens";1653.67;180586;108163.98;"SARS";NA;NA;NA
2023-07-03;"Brussels-North";"Sciensano Foodborne Pathogens";10204.79;1080145;1800.71;"SARS";NA;NA;NA
2023-07-03;"Brussels-South";"Sciensano Foodborne Pathogens";1862;249307;5964.12;"SARS";NA;NA;NA
2023-07-03;"Dendermonde";"University of Antwerpen Laboratory for Microbiology, Parasitology and Hygiene (LMPH)";494.13;69500;74698.22;"SARS";NA;NA;NA
2023-07-03;"Destelbergen";"Sciensano Foodborne Pathogens";382.21;63550;44913.86;"SARS";NA;NA;NA
2023-07-03;"Deurne";"University of Antwerpen Laboratory for Microbiology, Parasitology and Hygiene (LMPH)";1742.5;215592;23241.6;"SARS";NA;NA;NA
2023-07-03;"Genk";"University of Antwerpen Laboratory for Microbiology, Parasitology and Hygiene (LMPH)";1330.5;68582;17208;"SARS";NA;NA;NA
2023-07-03;"Gent";"Sciensano Foodborne Pathogens";1366.63;220130;14506.13;"SARS";NA;NA;NA
